4HS-惠水雅水LZB-YZ-1_18,202009271015,27131.92
4HS-惠水雅水LZB-YZ-1_18,202009271020,27479.41
4HS-惠水雅水LZB-YZ-1_18,202009271025,27766.412
4HS-惠水雅水LZB-YZ-1_18,202009271030,28123.932
4HS-惠水雅水LZB-YZ-1_18,202009271035,28433.328
4HS-惠水雅水LZB-YZ-1_18,202009271040,28702.756
4HS-惠水雅水LZB-YZ-1_18,202009271045,28960.01
4HS-惠水雅水LZB-YZ-1_18,202009271050,29181.744
4HS-惠水雅水LZB-YZ-1_18,202009271055,29432.799
4HS-惠水雅水LZB-YZ-1_18,202009271100,29663.156
4HS-惠水雅水LZB-YZ-1_18,202009271105,29879.846
4HS-惠水雅水LZB-YZ-1_18,202009271110,30091.453
